Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 61, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.107
Training Epoch 62, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.071
Training Epoch 63, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.105
Training Epoch 64, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.068
Training Epoch 65, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.102
Training Epoch 66, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.064
Training Epoch 67, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.098
Training Epoch 68, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.060
Training Epoch 69, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.095
Training Epoch 70, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.057
Training Epoch 71, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.092
Training Epoch 72, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.053
Training Epoch 73, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.089
Training Epoch 74, Training Accuracy:  34.4%, Validation Accuracy:  34.4%,  Validation Loss: 1.048
Training Epoch 75, Training Accuracy:  37.5%, Validation Accuracy:  21.9%,  Validation Loss: 1.085
Training Epoch 76, Training Accuracy:  37.5%, Validation Accuracy:  37.5%,  Validation Loss: 1.043
Training Epoch 77, Training Accuracy:  43.8%, Validation Accuracy:  28.1%,  Validation Loss: 1.081
Training Epoch 78, Training Accuracy:  46.9%, Validation Accuracy:  40.6%,  Validation Loss: 1.038
Training Epoch 79, Training Accuracy:  46.9%, Validation Accuracy:  28.1%,  Validation Loss: 1.076
Training Epoch 80, Training Accuracy:  50.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.032
Training Epoch 81, Training Accuracy:  50.0%, Validation Accuracy:  28.1%,  Validation Loss: 1.071
Training Epoch 82, Training Accuracy:  50.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.025
Training Epoch 83, Training Accuracy:  50.0%, Validation Accuracy:  31.2%,  Validation Loss: 1.065
Training Epoch 84, Training Accuracy:  50.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.017
Training Epoch 85, Training Accuracy:  50.0%, Validation Accuracy:  31.2%,  Validation Loss: 1.058
Training Epoch 86, Training Accuracy:  53.1%, Validation Accuracy:  50.0%,  Validation Loss: 1.009
Training Epoch 87, Training Accuracy:  53.1%, Validation Accuracy:  34.4%,  Validation Loss: 1.051
Training Epoch 88, Training Accuracy:  56.2%, Validation Accuracy:  53.1%,  Validation Loss: 0.999
Training Epoch 89, Training Accuracy:  56.2%, Validation Accuracy:  40.6%,  Validation Loss: 1.043
Training Epoch 90, Training Accuracy:  56.2%, Validation Accuracy:  53.1%,  Validation Loss: 0.989
Training Epoch 91, Training Accuracy:  56.2%, Validation Accuracy:  40.6%,  Validation Loss: 1.033
Training Epoch 92, Training Accuracy:  59.4%, Validation Accuracy:  53.1%,  Validation Loss: 0.977
Training Epoch 93, Training Accuracy:  59.4%, Validation Accuracy:  46.9%,  Validation Loss: 1.024
Training Epoch 94, Training Accuracy:  59.4%, Validation Accuracy:  56.2%,  Validation Loss: 0.965
Training Epoch 95, Training Accuracy:  62.5%, Validation Accuracy:  46.9%,  Validation Loss: 1.013
Training Epoch 96, Training Accuracy:  62.5%, Validation Accuracy:  59.4%,  Validation Loss: 0.951
Training Epoch 97, Training Accuracy:  62.5%, Validation Accuracy:  50.0%,  Validation Loss: 1.000
Training Epoch 98, Training Accuracy:  62.5%, Validation Accuracy:  62.5%,  Validation Loss: 0.936
Training Epoch 99, Training Accuracy:  62.5%, Validation Accuracy:  50.0%,  Validation Loss: 0.987
Training Epoch 100, Training Accuracy:  65.6%, Validation Accuracy:  62.5%,  Validation Loss: 0.919
Training Epoch 101, Training Accuracy:  65.6%, Validation Accuracy:  53.1%,  Validation Loss: 0.971
Training Epoch 102, Training Accuracy:  65.6%, Validation Accuracy:  62.5%,  Validation Loss: 0.900
Training Epoch 103, Training Accuracy:  65.6%, Validation Accuracy:  53.1%,  Validation Loss: 0.954
Training Epoch 104, Training Accuracy:  65.6%, Validation Accuracy:  62.5%,  Validation Loss: 0.880
Training Epoch 105, Training Accuracy:  65.6%, Validation Accuracy:  53.1%,  Validation Loss: 0.935
Training Epoch 106, Training Accuracy:  65.6%, Validation Accuracy:  62.5%,  Validation Loss: 0.858
Training Epoch 107, Training Accuracy:  65.6%, Validation Accuracy:  53.1%,  Validation Loss: 0.915
Training Epoch 108, Training Accuracy:  65.6%, Validation Accuracy:  62.5%,  Validation Loss: 0.834
Training Epoch 109, Training Accuracy:  65.6%, Validation Accuracy:  56.2%,  Validation Loss: 0.893
Training Epoch 110, Training Accuracy:  65.6%, Validation Accuracy:  62.5%,  Validation Loss: 0.810
Training Epoch 111, Training Accuracy:  68.8%, Validation Accuracy:  56.2%,  Validation Loss: 0.870
Training Epoch 112, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.784
Training Epoch 113, Training Accuracy:  68.8%, Validation Accuracy:  56.2%,  Validation Loss: 0.847
Training Epoch 114, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.758
Training Epoch 115, Training Accuracy:  68.8%, Validation Accuracy:  56.2%,  Validation Loss: 0.822
Training Epoch 116, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.732
Training Epoch 117, Training Accuracy:  68.8%, Validation Accuracy:  56.2%,  Validation Loss: 0.798
Training Epoch 118, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.707
Training Epoch 119, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.775
Training Epoch 120, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.684
Training Epoch 121, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.753
Training Epoch 122, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.662
Training Epoch 123, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.732
Training Epoch 124, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.642
Training Epoch 125, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.713
Training Epoch 126, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.624
Training Epoch 127, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.696
Training Epoch 128, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.607
Training Epoch 129, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.681
Training Epoch 130, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.592
Training Epoch 131, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.667
Training Epoch 132, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.579
Training Epoch 133, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.654
Training Epoch 134, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.567
Training Epoch 135, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.643
Training Epoch 136, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.557
Training Epoch 137, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.633
Training Epoch 138, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.547
Training Epoch 139, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.624
Training Epoch 140, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.538
Training Epoch 141, Training Accuracy:  68.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.616
Training Epoch 142, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.531
Training Epoch 143, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.609
Training Epoch 144, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.524
Training Epoch 145, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.603
