Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 61, Training Accuracy:  62.5%, Validation Accuracy:  31.2%,  Validation Loss: 1.066
Training Epoch 62, Training Accuracy:  62.5%, Validation Accuracy:  43.8%,  Validation Loss: 1.059
Training Epoch 63, Training Accuracy:  62.5%, Validation Accuracy:  43.8%,  Validation Loss: 1.048
Training Epoch 64, Training Accuracy:  62.5%, Validation Accuracy:  62.5%,  Validation Loss: 0.988
Training Epoch 65, Training Accuracy:  62.5%, Validation Accuracy:  62.5%,  Validation Loss: 0.987
Training Epoch 66, Training Accuracy:  62.5%, Validation Accuracy:  31.2%,  Validation Loss: 1.060
Training Epoch 67, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.053
Training Epoch 68, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.042
Training Epoch 69, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.980
Training Epoch 70, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.979
Training Epoch 71, Training Accuracy:  68.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.053
Training Epoch 72, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.047
Training Epoch 73, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.037
Training Epoch 74, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.973
Training Epoch 75, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.970
Training Epoch 76, Training Accuracy:  68.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.047
Training Epoch 77, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.039
Training Epoch 78, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.030
Training Epoch 79, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.965
Training Epoch 80, Training Accuracy:  68.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.961
Training Epoch 81, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.039
Training Epoch 82, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.030
Training Epoch 83, Training Accuracy:  68.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.023
Training Epoch 84, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.955
Training Epoch 85, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.950
Training Epoch 86, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.029
Training Epoch 87, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.020
Training Epoch 88, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.015
Training Epoch 89, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.946
Training Epoch 90, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.940
Training Epoch 91, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.021
Training Epoch 92, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.010
Training Epoch 93, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.007
Training Epoch 94, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.936
Training Epoch 95, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.930
Training Epoch 96, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 1.011
Training Epoch 97, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 1.000
Training Epoch 98, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 0.999
Training Epoch 99, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.925
Training Epoch 100, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.918
Training Epoch 101, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 1.002
Training Epoch 102, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.990
Training Epoch 103, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 0.991
Training Epoch 104, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.915
Training Epoch 105, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.907
Training Epoch 106, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.992
